#,Job_ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,District Cooling [kWh],c1: Interior Lighting[kWh],c2: Total Energy [kWh],c4: Annual Total Peak Values[kWh],c5: Annual and Peak Values-Cooling[kWh],c7: Not Comfortable[Hours]
0,case_1,0.579601597,0.811226596,0.981684839,3.011816949,0.30329161,0.365769295,0.286340672,0.343694362,0.257840623,0.254095338,0.335302332,0.320845421,483473.1686,91214.6672,1049062.3,565742.2072,483473.5594,3255
1,case_2,0.512221017,0.87837988,0.813208014,3.785579552,0.328466129,0.485490072,0.326060306,0.217015254,0.279271656,0.276324628,0.212523388,0.282325281,475362.793,86502.67792,1036242.5,561030.2179,475363.1731,3255.67
2,case_3,0.708910575,0.634955577,0.785490291,3.557604826,0.221645158,0.613304473,0.385890749,0.336233804,0.217811649,0.283118338,0.338284803,0.201946536,478980.9446,79341.45752,1032698.27,553868.9659,478981.3248,3263.83
3,case_4,0.623260568,1.450637091,0.662717854,3.323586671,0.334518436,0.491491831,0.386784307,0.392581116,0.26475006,0.206152551,0.334779923,0.397066194,513443.0506,80752.19767,1068560.25,555279.706,513443.4624,3291.5
4,case_5,0.696744453,1.070418931,0.54358026,3.381199889,0.342261798,0.219208087,0.394336763,0.237149065,0.249879953,0.277880925,0.347911523,0.397696847,514818.2266,109155.3105,1098338.12,583682.8505,514818.6384,3281.67
5,case_6,0.978027404,1.147197314,0.892432075,3.196045127,0.276093687,0.70344064,0.370724479,0.211563999,0.214017453,0.21454261,0.374536235,0.379423175,485526.2755,71871.61297,1031771.69,546399.1213,485526.6662,3311.33
6,case_7,0.836623968,1.088049832,1.342169975,3.297270999,0.28062742,0.366949348,0.26730228,0.385068945,0.268551036,0.281375596,0.295250799,0.343135853,481267.7866,91044.50429,1046687.44,565572.0126,481268.1667,3302.83
7,case_8,0.619505243,1.071870711,0.714791854,3.463781605,0.251067451,0.691473081,0.379963829,0.259623278,0.275650577,0.247449567,0.367498535,0.262359498,486765.6182,73762.69201,1034901.74,548290.2004,486766.009,3286
8,case_9,0.651773515,0.797773149,0.62642193,3.160137387,0.27877013,0.235000559,0.291230116,0.399150415,0.217964558,0.290205697,0.360828044,0.206500831,497273.832,114815.3096,1086459.24,589342.8496,497274.2333,3244.67
9,case_10,0.638361224,1.215886501,1.367686617,3.71579795,0.218037829,0.404208346,0.348701231,0.21316381,0.225057181,0.291117449,0.290768335,0.219492537,466812.7517,92458.56979,1033651.03,566986.0781,466813.1213,3298.17
10,case_11,0.803172249,1.244958904,1.200811616,3.089125157,0.302595592,0.419313199,0.311032135,0.320702418,0.258650125,0.220870524,0.287256803,0.332820505,482267.4384,88713.56062,1045355.82,563241.069,482267.8186,3295.67
11,case_12,0.705052444,0.733400085,0.904964873,3.906358099,0.235907633,0.201308292,0.224817983,0.31365502,0.223143121,0.251344942,0.209905474,0.3906294,478493.7062,124545.2203,1077414.94,599072.7603,478494.0864,3258.17
12,case_13,0.72522704,0.752591592,0.788119705,3.47158333,0.214155978,0.216057173,0.239587153,0.227342285,0.259411831,0.25833164,0.391627303,0.246478035,473191.9843,114520.9369,1062090.61,589048.4769,473192.3645,3260.17
13,case_14,0.885176535,0.770253619,0.930106661,3.091926811,0.254037746,0.646175042,0.221255789,0.233132544,0.299526163,0.265656062,0.305788655,0.316706962,461460.2045,75032.78569,1010874.41,549560.294,461460.5741,3288.83
14,case_15,0.790530027,1.30246299,0.779130745,3.903938871,0.36599948,0.501223572,0.258020784,0.263514065,0.28631161,0.211518725,0.268979383,0.374288578,488976.6077,81394.14857,1044743.47,555921.6569,488976.9984,3293.5
15,case_16,0.834786496,0.583798946,0.525746193,3.366793024,0.367473892,0.207079677,0.396350016,0.283710017,0.233083962,0.205505123,0.221739594,0.371696825,504047.3856,127407.5549,1105822.89,601935.0949,504047.7974,3252
16,case_17,0.790917381,1.297500774,1.306603841,3.742640863,0.295650244,0.753794997,0.301700066,0.301209242,0.271367525,0.201514211,0.384592728,0.345913466,480592.9709,70040.86528,1025009.19,544568.3736,480593.351,3318.83
17,case_18,0.770135301,1.021654719,0.573767748,3.09117692,0.303926722,0.207654056,0.376510316,0.356806586,0.216786063,0.272720445,0.323498037,0.343307568,517515.24,117606.8934,1109485.84,592134.4334,517515.6518,3269
18,case_19,0.54531107,0.922808209,1.464806563,3.850919525,0.243645277,0.712375755,0.274620189,0.256000589,0.285925009,0.218722006,0.338966339,0.384592454,459380.9933,70852.63072,1004615.69,545380.1391,459381.3629,3303.33
19,case_20,0.619392835,1.240084031,0.636014246,3.739916362,0.38027047,0.294662127,0.260825539,0.230465992,0.295771459,0.209300883,0.235386707,0.296410928,490986.6931,105651.5317,1071010.31,580179.0717,490987.0838,3261.17
20,case_21,0.662937003,0.624937955,1.430088464,3.264242136,0.306022468,0.650207718,0.201705986,0.290288241,0.263078116,0.273090474,0.216979427,0.35139071,452236.4141,77085.31839,1003706.06,551612.8267,452236.7837,3291.67
21,case_22,0.896919099,0.573165679,1.007890072,3.511244899,0.211498183,0.745674317,0.276925738,0.24472335,0.267097695,0.251857749,0.204036194,0.259476518,448115.0573,76810.92951,999311.59,551338.4379,448115.4163,3284.67
22,case_23,0.551220212,1.166340301,0.918199549,3.657829088,0.223604052,0.731156009,0.229248001,0.336579454,0.245211629,0.237690396,0.31709739,0.226161169,463877.737,74967.45048,1013225.82,549494.9588,463878.1066,3284
