#,case,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Cooling,Lighting,Equipment,fadian
0,1,240,0.135286282,0.167908544,0.58925754,0.717594349,0.819095733,0.538256948,0.507720828,0.459403694,0.521572369,0.439813577,0.599200894,0.934778044,0.61345519,0.759357828,1.010693867,0.657606682,1.019013723,0.25100945,0.356427216,2.676631578,0.522650833,12.79278648,0.921649251,7.284602592,0.797822813,12.44896105,0.819233146,25.3468826,25.71022853,17,48291.02319,8920.78563,41780.16216,60903.15486
1,2,90,0.179928012,0.144703315,0.777914125,0.646848007,0.586444707,0.610240399,0.556017465,0.224801484,0.562106521,0.500701594,0.674338909,0.540917174,0.893010637,0.599622789,0.982001815,0.509985527,1.100924259,0.484207077,0.418415439,2.100030251,0.626750741,15.13473446,0.740325298,6.595484854,0.949602062,12.54938511,0.776244975,24.11639694,25.33116426,18,56089.05868,9782.75109,43897.86975,62341.84041
2,3,110,0.159347101,0.147473164,0.671874727,0.760361996,0.791324612,0.641040799,0.395461059,0.454633383,0.605299144,0.417483137,0.912610747,0.693008131,0.766272337,0.936047952,1.154984816,0.583602907,0.539897435,0.194142673,0.345400913,1.591134518,0.673308605,15.7759464,0.783783815,7.403610327,0.963827824,12.5022387,0.828680169,24.33689316,26.19783784,19,57264.87874,13426.43361,50931.38469,68719.85442
3,4,80,0.170955613,0.143669514,0.642274616,0.720971119,0.662694174,0.523087177,0.466284223,0.463575268,0.373697187,0.5334612,0.766690333,0.745659089,0.672873681,0.798736848,0.743101329,0.731774134,1.031563591,0.155535899,0.353657216,2.633567877,0.683570707,14.99254146,0.802732529,5.846106389,0.825645783,13.59490849,0.83836375,24.8201912,25.10008236,18,48818.44585,7628.98848,51360.70299,60353.13432
4,5,220,0.16244609,0.21111657,0.708844954,0.828738007,0.788451005,0.583476387,0.514061808,0.438247982,0.522147671,0.476847842,0.697686299,0.671247628,0.647599025,0.764885023,0.710598561,0.624494158,0.561755713,0.484990328,0.191149179,1.837386327,0.525178314,12.91158716,0.805659547,7.262461856,0.745093806,12.96109286,0.70514646,24.48901645,27.89782291,17,49450.72106,8205.84591,37441.25802,74464.2111
5,6,250,0.165142162,0.158683949,0.853046355,0.469314092,0.713724202,0.745562885,0.409815225,0.351649465,0.4766208,0.431448075,0.880214183,0.809174807,0.724006971,0.875693775,0.414445235,0.588977853,0.414041974,0.480855201,0.316896147,1.144274114,0.64811839,12.09458221,0.861244305,8.600734182,0.794974257,12.18282972,0.895794157,24.36052998,26.02409202,17,55753.42043,10175.05626,44708.06784,72656.04171
6,7,350,0.149656941,0.166001743,0.723122279,0.783969896,0.839219174,0.688981922,0.629728352,0.292258169,0.523280957,0.332718005,0.658747108,0.911030631,0.877285878,0.636301714,0.494099428,0.55635953,1.04963798,0.179018968,0.26213865,1.041802287,0.501462767,14.9974532,0.931335095,7.260208872,0.796576168,12.8394581,0.762850947,24.58493047,23.91294002,19,49235.63463,13635.38661,48150.09273,65923.99134
7,8,50,0.122038926,0.182009944,0.735342326,0.629176059,0.681003013,0.705260711,0.514399551,0.496368619,0.367913927,0.513842803,0.811566762,0.810137561,0.65646234,0.700008727,0.552164503,0.798766144,0.600958615,0.155161795,0.245045411,2.543491725,0.4722903,12.98935523,0.752204769,6.149457649,0.770974287,11.00054197,0.750874928,24.66347263,25.56926217,19,50206.07798,10740.07302,40606.206,62214.4314
8,9,20,0.184216383,0.173747186,0.485179437,0.657623879,0.825702163,0.361200291,0.437908493,0.518873944,0.475179785,0.574470661,0.585958151,0.669445964,0.760297376,0.67853909,0.822275721,0.602733141,0.796551125,0.194178527,0.249829641,1.142914248,0.504334849,14.43394656,0.842079734,8.143752896,0.799565239,13.41352151,0.958522909,25.3956896,23.82052395,17,45089.39998,10178.37204,52671.3942,63827.29023
9,10,110,0.159786153,0.12939139,0.61225927,0.716803182,0.424070267,0.759117672,0.450272766,0.483109851,0.596855525,0.342208727,0.90015093,0.917378638,0.641176563,0.517027996,0.992231516,0.436773334,0.670129264,0.263896299,0.408849711,1.531305536,0.619282416,13.96469792,0.751731938,5.395678312,0.776300132,12.99239117,0.793409562,25.04151256,20.2028599,19,54675.03002,8273.86191,50675.40909,50167.11375
10,11,310,0.169759944,0.159202908,0.615966014,0.682217364,0.729924256,0.538154214,0.366049891,0.441023803,0.384888996,0.371512037,0.72272142,0.66855746,0.703070579,0.672746237,1.039049703,0.4987408,1.09396854,0.376669835,0.363936476,1.088554919,0.720892537,12.95657622,0.734618003,5.481189161,0.83397888,12.49517861,0.788649645,24.72677921,25.99881998,19,56943.52385,9566.20188,48443.70276,60824.75661
11,12,40,0.137447199,0.172852587,0.824568728,0.417385305,0.60720575,0.507233934,0.363113925,0.431141454,0.455148299,0.382948345,0.988467777,0.918923458,0.765777585,0.941380532,0.427973738,0.709540703,1.059777396,0.290949678,0.180014125,2.750796018,0.477614648,13.87467419,0.80252074,6.612028939,0.762353102,13.14567432,0.775071476,24.29774689,25.22877728,18,47189.17162,10071.16836,45914.17791,68136.0744
12,13,70,0.164222407,0.172329418,0.396152639,0.664012527,0.856772761,0.435603301,0.512321212,0.628512495,0.558922613,0.399513391,0.641051535,0.64569506,0.74208463,0.64789551,0.707495384,0.403351749,1.00111558,0.224940141,0.223137834,2.689811873,0.438836704,13.25542071,0.843986777,6.174547285,0.797833147,12.4987349,0.782145469,24.0825156,23.67443647,18,49689.95099,9049.53207,44053.02798,66179.33583
13,14,220,0.164509102,0.138151794,0.748714425,0.425110989,0.503685296,0.74787925,0.475112613,0.417365467,0.486020289,0.43179872,0.889626509,0.698546534,0.900637704,0.623593268,0.986272202,0.624653196,0.634559232,0.312023199,0.313362481,2.615071793,0.418258861,13.20777983,0.795170559,5.232145691,0.926834256,12.16824638,0.822034598,23.22744076,21.33946993,19,58438.38037,11714.11446,49173.23976,58913.35332
14,15,30,0.19021201,0.207559343,0.822541918,0.789011114,0.735879018,0.715244277,0.438263792,0.467709672,0.385337084,0.43688254,0.782259875,0.590515392,0.84237963,0.709854589,1.009837504,0.558104444,0.400653956,0.436591449,0.288700245,1.49064205,0.48654006,14.17745888,0.906333731,6.465808124,0.816527378,11.21699089,0.87133603,23.22361073,26.82986402,18,57805.16667,10573.39131,44043.74445,84077.50098
15,16,70,0.173494983,0.181073024,0.507938379,0.507955342,0.708721045,0.40953853,0.401979188,0.493382668,0.469363342,0.535894176,0.613407117,0.868767821,0.65301307,0.654904856,0.6113743,0.56665852,0.559667996,0.35365911,0.218579732,2.911821499,0.504267952,11.82905708,0.780503373,7.437918858,0.875117165,12.28217635,0.865837214,25.69226807,24.99767894,17,45937.55841,10042.9221,43565.33691,64161.50712
16,17,90,0.166984992,0.18630802,0.567005617,0.652222974,0.476110168,0.583277044,0.496756934,0.514283364,0.344787631,0.406766813,0.842810559,0.553035235,0.779460269,0.805659232,1.03878367,0.657573649,0.609661128,0.478511262,0.15767094,1.496922885,0.552409453,15.19045851,0.827815178,6.325337117,0.7981728,13.25304704,0.840067068,24.35595398,26.79543078,17,46531.23563,8279.51901,45609.90768,70313.08344
17,18,250,0.137902904,0.181798562,0.482870386,0.658795579,0.670137036,0.528586218,0.668554406,0.324402912,0.454489918,0.375113083,0.60339637,0.877991891,0.779881508,0.681065945,1.125004961,0.657841422,0.900691097,0.425814773,0.29500208,1.524647567,0.556751657,13.75815685,0.933996879,6.251296802,0.936883538,13.2905981,0.851571223,24.92475584,25.18055449,19,59413.14884,12750.06681,55638.60528,63213.23001
18,19,150,0.197263563,0.185958233,0.845571843,0.454087574,0.662964114,0.802403798,0.553558111,0.624461813,0.651953515,0.452679509,0.817634161,0.630275664,0.795347129,0.721927237,1.156856181,0.40486781,0.425059318,0.198797518,0.464292732,1.452922842,0.526246996,11.4938776,0.805654274,8.22275689,0.968309593,13.40919497,0.806077165,24.67341533,21.97130006,19,65372.75981,15544.71999,53136.14949,76001.94822
19,20,60,0.160524775,0.187287856,0.559934239,0.505595513,0.618138349,0.65708071,0.47271394,0.449698474,0.527488113,0.494886885,0.63857941,0.809486231,0.765802301,0.739943514,0.895299921,0.402866034,0.477492053,0.182146543,0.427427545,1.939392007,0.476865634,15.2137217,0.804667928,6.333169804,0.907748719,13.49082771,0.777479676,25.28497661,24.81903497,18,52024.47048,10208.10288,47266.10709,68131.67625
20,21,50,0.14552137,0.139244877,0.749188896,0.55006865,0.320450484,0.671954697,0.530786561,0.348227688,0.519317644,0.362379065,0.664616292,0.649238314,0.795524335,0.652957211,0.463518526,0.683993322,0.626771376,0.311057075,0.295596697,1.929088673,0.624878186,11.11156273,0.801633328,4.551092517,0.870749557,12.18226202,0.950890251,24.84012121,23.85126127,19,60737.15549,8047.61061,56946.76878,49215.75957
21,22,300,0.173285958,0.165600449,0.352320673,0.812190306,0.708878734,0.518898316,0.534142486,0.58097947,0.663427703,0.458241478,0.678806579,0.815600164,0.845467671,0.646996572,0.699116952,0.656612265,0.878123783,0.262012619,0.423640368,2.062415963,0.478446238,12.8246033,0.759971191,5.762329648,0.927504829,12.70328195,0.871767206,24.98153881,22.3015425,17,50579.68311,7758.3039,45367.61703,64329.24831
22,23,300,0.173983791,0.136672307,0.58785767,0.55489887,0.600506879,0.802268228,0.534564271,0.430966533,0.443854408,0.411959473,0.616672616,0.848065898,0.575910061,0.961472906,1.056147834,0.771341129,0.718551821,0.378822701,0.297183065,1.335410286,0.508912163,14.21984528,0.843975233,7.007326908,0.79426554,13.35770399,0.777534669,24.23661025,25.30559994,17,49561.43018,9304.20621,42548.18706,63533.31723
23,24,90,0.158118686,0.193691845,0.541795149,0.359233921,0.468716845,0.741813021,0.534172769,0.448726074,0.489421454,0.55364087,0.755951539,0.724955646,0.691217888,0.713233395,0.914231164,0.588678761,0.652222891,0.462480348,0.354885711,1.268941529,0.471672667,14.24957157,0.885411617,6.370860157,0.796266382,12.78529647,0.843850012,25.22194848,27.06345894,17,52594.15353,7909.3452,44198.301,63904.11234
24,25,70,0.17282659,0.157250251,0.736447061,0.447234974,0.55157154,0.861810726,0.468328523,0.543090591,0.395427198,0.386892531,0.738412639,0.859393151,0.546964198,0.555281273,0.70453378,0.494388212,0.893166079,0.451354127,0.363493246,2.232258162,0.568477143,11.03872399,0.839148049,5.745655167,0.825990091,12.12595407,0.843411404,25.02162823,23.13338203,19,61274.71297,10310.78742,50276.62605,58426.60401
25,26,150,0.167940631,0.187350921,0.610384439,0.682342521,0.655984528,0.620542892,0.507682091,0.496548217,0.438107033,0.45089869,0.67684898,0.6728059,0.790882453,0.862712104,1.135674287,0.616043888,0.572105845,0.20841079,0.403430713,2.429141166,0.717635476,14.59606299,0.766556351,6.297243086,0.73226576,14.70212447,0.789153154,24.72174648,24.17611272,18,50808.52861,7171.0773,52283.36946,68832.35877
26,27,40,0.151573282,0.181887655,0.726888144,0.686670712,0.722655263,0.675218622,0.531332248,0.600405157,0.420933786,0.43899287,0.633105943,0.671094053,0.694626446,0.63403759,0.67993835,0.709755706,0.588823884,0.361023631,0.303591839,1.122028751,0.572739152,13.47190732,0.794867745,5.944093902,0.830980957,10.99333615,0.78937232,23.87039722,23.6938751,19,57194.03201,10485.1896,42660.1257,64785.96594
27,28,270,0.13861539,0.1799002,0.432816138,0.551310018,0.708273463,0.677581327,0.692028146,0.249113465,0.403539925,0.495092442,0.81890711,0.647427327,0.9134277,0.724708429,0.464156492,0.504149061,1.185948374,0.192563813,0.280295829,1.066576086,0.557988129,13.80183717,0.786016473,7.156746663,0.83909382,13.54523654,0.901324775,24.57507239,25.58415288,19,56826.31942,12916.66023,60017.60289,65796.72294
28,29,300,0.165336639,0.137446869,0.817312192,0.761396288,0.519590176,0.679498281,0.501947541,0.367461972,0.567522968,0.499166223,0.670479484,0.837112559,0.787005506,0.609363666,1.016868777,0.705254009,0.539689564,0.384763566,0.202471931,1.596864734,0.492028583,12.66694491,0.818656911,6.330218352,0.797024416,12.26249206,0.820573557,24.65173685,22.78638253,18,51110.60249,8817.98991,45343.85394,58518.26211
29,30,210,0.143214938,0.171548719,0.696218466,0.617339434,0.603607277,0.663225531,0.483172437,0.509445936,0.567262116,0.584696383,0.697692247,0.902772366,0.852034329,0.860567809,0.957579913,0.659411355,0.701945804,0.296570386,0.188831442,1.512786679,0.456742111,14.27396098,0.798253592,8.223556285,0.791443256,12.05980471,0.861096084,23.84959962,24.40476486,17,46874.74368,10021.60824,42542.3403,63857.48214
30,31,220,0.179024252,0.125319292,0.705113619,0.718651472,0.555632449,0.700346914,0.424319247,0.352193086,0.50386596,0.507791193,0.72013029,0.587774694,0.730202552,0.838138483,0.653571528,0.468633216,1.180813018,0.359127841,0.197165086,1.56273678,0.677257576,14.24024667,0.927878318,6.868884247,0.774902401,11.07762434,0.859659281,24.05184707,24.57146127,19,52972.56556,10273.75467,46814.86017,59813.39793
31,32,80,0.14154424,0.194822094,0.464591805,0.573546318,0.41399141,0.508802579,0.224204668,0.423734923,0.38984974,0.465668117,0.750818365,0.726756657,0.667838235,0.660697461,0.724433664,0.459535269,0.478612816,0.475809106,0.389490033,1.365059204,0.709061362,15.20929364,0.836561803,6.558416287,0.813216412,13.66907801,0.802661164,24.92595678,27.37930123,19,58583.3689,10779.93759,53936.43294,62067.88308
32,33,180,0.182975011,0.217371523,0.481158624,0.769208345,0.848730352,0.791102427,0.417311039,0.540015462,0.382619081,0.53914572,0.704355403,0.697867761,0.657089066,0.620948545,0.421123661,0.420878684,0.527696982,0.314456986,0.402946788,1.689426068,0.597281784,12.72239553,0.812808291,5.718928688,0.828859373,10.5654771,0.874274102,25.3870284,23.15611802,19,53903.60977,9697.88478,45409.57767,73356.42339
33,34,50,0.142644615,0.185968351,0.457746883,0.50896208,0.444487937,0.799859251,0.360229394,0.513782296,0.339177376,0.400250944,0.550881828,0.569848863,0.701977569,0.729677136,0.534177637,0.711383708,0.636824108,0.47060774,0.380845303,1.227167799,0.555315372,10.78522863,0.882890512,5.072783816,0.811891529,12.25047679,0.734484373,25.49115696,25.50838158,18,57576.0018,7971.77604,40546.90782,60867.27969
34,35,130,0.148939188,0.145582822,0.616846824,0.637114277,0.829701615,0.846521396,0.459973366,0.307658956,0.406490033,0.404349078,0.684540598,0.880450363,0.760174449,0.681909037,0.569777949,0.689001271,0.968334999,0.498796435,0.208107307,2.84161094,0.689428771,13.49551376,0.775346023,5.86372088,0.860077718,12.8459838,0.788880619,25.30316082,25.40554991,19,51518.12406,10354.42884,49818.35844,61569.08382
35,36,60,0.133122389,0.195070018,0.665352427,0.565507185,0.850944288,0.721236143,0.557782953,0.582328358,0.417837511,0.396526163,0.917113848,0.603991585,0.758759847,0.573112926,0.913105741,0.732071544,0.958398942,0.302039477,0.349459894,2.716019649,0.576509715,14.66231689,0.780780387,7.882723116,0.907215086,12.32226744,0.928477574,24.56351976,24.55568048,17,47941.70326,10930.38375,46869.63267,68952.89751
36,37,140,0.192265359,0.207306069,0.73389894,0.70816764,0.658978111,0.503151269,0.369967129,0.33916701,0.423479186,0.326865447,0.766657287,0.682394855,0.660205019,0.579662245,0.616845227,0.682627203,0.557667837,0.154614902,0.294805282,1.8509492,0.739609298,15.15555302,0.912804683,5.389653558,0.811939733,12.81898936,0.810673948,25.5557255,28.93739468,18,46086.97997,7568.14686,46829.78772,72849.83826
37,38,100,0.142453844,0.162083307,0.45867583,0.605999108,0.806850442,0.558716024,0.602161862,0.369497787,0.528165398,0.328424303,0.752670227,0.640976105,0.712899533,0.633626245,0.502288743,0.438736689,0.562519967,0.42620283,0.436039474,1.753310912,0.627991074,15.35578579,0.878020868,6.055425397,0.759844681,11.48180151,0.897452734,25.12460783,28.75756183,17,51784.26609,6816.98208,42213.4764,58825.01754
38,39,60,0.144989262,0.173852958,0.739166528,0.811776667,0.660514477,0.605806613,0.444651568,0.476723278,0.550304471,0.682730028,0.5329519,0.571912349,0.751250101,0.65076192,0.961462339,0.477746103,1.044999609,0.304934996,0.303010452,2.119858701,0.490610583,12.37108176,0.93850713,5.769714415,0.746920935,12.67805287,0.78201976,24.37110218,26.59165755,19,62418.89142,8467.49169,48739.49388,60618.92319
39,40,300,0.160264232,0.152507945,0.629966414,0.653464322,0.453631502,0.615965413,0.487292556,0.332664137,0.57687997,0.604070862,0.912487021,0.789200473,0.867952706,0.944926914,0.866748137,0.535174535,1.131795932,0.200962623,0.461613547,1.223019028,0.475258975,12.16833056,0.805289761,6.051015141,0.935528234,12.03164628,0.879368985,23.98384603,24.39861637,17,57646.30353,8369.99337,43343.67015,63190.07841
40,41,70,0.15142173,0.186943012,0.76906506,0.847350899,0.563052039,0.639142788,0.421351498,0.446236541,0.456375081,0.560799316,0.56380489,0.788361444,0.736794075,0.667831526,0.803311722,0.728672053,0.568247654,0.208427753,0.367386557,1.418028899,0.445861594,15.73076883,0.858400424,5.223462774,0.780744792,13.54756848,0.732333647,25.81191336,23.38000089,17,43119.77216,6804.75555,40644.31785,66529.43838
41,42,300,0.187605601,0.200219297,0.758596764,0.631784718,0.583546666,0.688389421,0.691159385,0.335860337,0.437967208,0.461557305,0.857974633,0.906738863,0.66512496,0.628547931,1.075878478,0.548909083,0.842877346,0.204188465,0.24879042,1.472478666,0.597385896,14.69326766,0.834500483,7.103368558,0.826646038,12.86518737,0.765350631,25.1381388,22.80478377,17,41203.34615,8836.7172,40337.22888,76754.13324
42,43,20,0.141122572,0.116440152,0.612453106,0.852701013,0.770486227,0.599805201,0.306320009,0.525987682,0.42676285,0.567010232,0.87670915,0.891154512,0.732350743,0.832001334,0.50379085,0.651934825,0.997112978,0.152643627,0.295595752,2.220012152,0.492987952,14.20706818,0.791579929,5.38356616,0.781212587,13.03842404,0.915145482,24.31372224,24.76748378,19,53324.06767,9272.78478,58657.82898,53212.31433
43,44,230,0.171183274,0.154041826,0.538402314,0.588211069,0.72036721,0.770760385,0.524137677,0.509415569,0.479007929,0.561945569,0.841943823,0.809895773,0.963878916,0.697932271,0.806501869,0.794507242,0.809048116,0.171892056,0.334802827,2.303795617,0.574133778,13.90197263,0.810913609,5.243054939,0.836989298,14.29969455,0.830921808,25.63124499,24.72700515,17,45540.04958,6210.49191,48676.17033,69545.91201
44,45,120,0.127849653,0.133843127,0.5722671,0.487812162,0.762675995,0.719283434,0.529343938,0.598549696,0.473725986,0.57545113,0.706964864,0.68989218,0.617344871,0.853569385,0.493459446,0.456524479,0.514736931,0.376665422,0.428793545,2.847210587,0.78545576,14.01447101,0.856837983,4.400988242,0.835121475,13.06802338,0.951435569,23.75265762,26.06267876,19,66584.02558,6175.068,61122.3495,50786.30787
45,46,270,0.13104775,0.196947095,0.51705591,0.743430302,0.63502008,0.752631979,0.558370283,0.392595651,0.556218572,0.489811602,0.918552921,0.627569578,0.706161769,0.683834505,0.69112709,0.794796889,0.70773011,0.309524115,0.424388514,1.933046339,0.570766483,12.66860395,0.859045209,5.933240679,0.956991641,10.88904151,0.803744911,24.30282206,22.2796438,19,60876.2929,11150.0133,43024.77648,65408.07036
46,47,90,0.150143456,0.14485445,0.704692432,0.86035733,0.68246006,0.461763242,0.279942911,0.630749484,0.583695242,0.418429752,0.808870225,0.549015593,0.736067418,0.851519997,1.021739735,0.779476175,0.524354734,0.322126796,0.152466981,1.467118433,0.62030339,10.79579459,0.770855681,8.147186083,0.788784807,12.44656062,0.847451246,23.87821234,26.35485683,17,53554.32363,9282.13371,43210.92777,60514.23414
47,48,210,0.14727866,0.15747609,0.620355392,0.519333343,0.63313325,0.684107226,0.527053661,0.374964045,0.523805461,0.553480012,0.719250767,0.665189333,0.658772499,0.611619415,1.167100716,0.638730768,0.987796724,0.426791157,0.438587346,1.025995199,0.531297626,15.40827155,0.755071737,4.868989359,0.819894505,13.01771813,0.822837047,25.17070483,28.38869018,17,51693.22166,5806.08447,43881.16986,54767.34648
48,49,200,0.166140526,0.163082232,0.76671568,0.676529919,0.439006066,0.763929299,0.565456248,0.463391218,0.424789336,0.595225628,0.720537682,0.773059425,0.644658486,0.7218748,0.616654711,0.519047332,0.65910887,0.479230411,0.263175376,1.285577581,0.620799051,11.48946871,0.730741456,5.82439521,0.95322596,14.31119373,0.916431065,25.14855892,21.1725743,18,57230.9078,8797.39218,59101.41102,62488.79748
49,50,220,0.166527904,0.211614557,0.699001347,0.72545297,0.57553026,0.623828594,0.308583379,0.510331017,0.390277598,0.426419362,0.922875078,0.575196105,0.814710089,0.857837968,0.880843222,0.554279608,1.009436045,0.38962675,0.293601683,2.972193857,0.503211599,12.08501809,0.88517183,7.197526702,0.834344872,13.09334934,0.908899733,25.15358358,28.58886512,17,52121.35186,10311.81747,48752.42673,83427.53616
50,51,90,0.197757339,0.157548761,0.784568769,0.517776639,0.357343612,0.714724827,0.480876571,0.339465046,0.38439133,0.522051075,0.656401341,0.94119385,0.689570437,0.601981055,0.722117199,0.674166711,0.503112783,0.215010672,0.228914581,2.044832585,0.729873781,12.46781228,0.930131328,6.615290946,0.793732396,14.55356607,0.924079697,25.59330655,24.68557915,18,52616.00912,8137.67295,60603.96294,63289.33272
51,52,130,0.179768482,0.200263599,0.800905829,0.563027791,0.562258128,0.551082141,0.366396148,0.3964338,0.570018915,0.369204386,0.684430062,0.782832895,0.723270086,0.816128691,0.474925891,0.672858253,0.47869409,0.445726458,0.227129871,1.023244242,0.741123544,11.54900716,0.79809585,7.278886272,0.850724751,13.26451366,0.822774553,25.36202701,26.29871649,17,51242.86418,8629.81776,44709.69303,73582.48176
52,53,160,0.142116929,0.156616417,0.667489097,0.77448741,0.6061265,0.802263112,0.360825312,0.522386229,0.36094414,0.475275178,0.89591488,0.556942913,0.959377821,0.855705126,1.155665843,0.515427512,0.949721189,0.326374477,0.201935935,2.98922606,0.518746117,12.9556925,0.786398266,6.714923767,0.863821966,11.9763622,0.855533703,24.82213643,24.19453183,18,48064.44707,11034.86025,46172.58966,64981.65255
53,54,190,0.165433236,0.128395946,0.73979417,0.770866476,0.576225567,0.593871711,0.601856915,0.432371304,0.504678651,0.464423888,0.703246782,0.820361094,0.862633208,0.963689416,0.490960857,0.613923022,0.418272741,0.175564894,0.372516565,2.13676306,0.516104461,13.50085442,0.928874854,6.831006827,0.895660479,11.30838365,0.87318447,24.74603223,25.65036047,17,47689.92634,9432.76953,40451.62983,58175.76885
54,55,30,0.186410168,0.19660306,0.432949869,0.567318021,0.677643795,0.479284811,0.517406901,0.296048115,0.406378539,0.405265126,0.561496979,0.762579644,0.695474747,0.76540668,0.652099704,0.696039518,1.138755635,0.209419712,0.43467525,2.922785869,0.443218018,14.71515145,0.874100779,6.89493043,0.831821184,12.33930647,0.788867952,24.01906194,25.05931825,18,51196.60894,12308.26365,43864.91142,70337.59863
55,56,220,0.11734154,0.16531124,0.63441533,0.577530276,0.70175381,0.566602753,0.279326106,0.402018799,0.371962873,0.355930451,0.753183458,0.90171277,0.553213633,0.786937777,1.01551964,0.458422837,0.410167917,0.324688194,0.270376272,1.21189441,0.630528566,14.31505257,0.808385469,6.727756982,0.801047193,13.861289,0.902973004,23.87859855,22.54294341,17,48047.18474,9240.95133,51275.26116,59243.244
56,57,110,0.149848875,0.188458317,0.539184768,0.477103215,0.459231667,0.489853944,0.436540351,0.466754612,0.444556439,0.44506162,0.804358818,0.688415297,0.888150639,0.515467781,0.53214168,0.793612021,1.051786532,0.320036662,0.425345261,2.153254441,0.568342928,11.75387022,0.769592111,6.756463397,0.94055938,12.75783706,0.73118785,24.55675891,21.50812286,17,49844.00832,9781.18476,38215.14603,63026.50647
57,58,70,0.136688821,0.146469505,0.745225524,0.723814123,0.583570304,0.818708207,0.412574416,0.263731147,0.518296856,0.40861408,0.708055401,0.751408118,0.854161416,0.666257312,0.728575916,0.509718437,0.634106455,0.420722803,0.247973925,2.253947042,0.594771282,14.1870172,0.752090155,7.464646135,0.948775085,12.2234293,0.752168856,24.09187425,27.38186825,17,47239.91875,10811.55849,37664.99469,59304.63498
58,59,270,0.172541976,0.148835529,0.662394412,0.608224805,0.60859381,0.74634933,0.487614155,0.437907161,0.421202633,0.366393739,0.600807358,0.723727341,0.723910148,0.691994217,1.190868462,0.559759917,0.780086275,0.350173186,0.362583465,1.31880719,0.755742315,12.82753144,0.74883464,6.83482319,0.892610619,11.95716397,0.841515263,24.5650743,25.05834501,19,58922.37743,12136.08834,49465.33251,62237.04999
59,60,120,0.118300058,0.142757012,0.546583539,0.634033123,0.715460625,0.700229941,0.30482798,0.48066072,0.37236904,0.36219615,0.763886812,0.921760917,0.837189166,0.902153235,0.877041989,0.439126647,1.105793725,0.396023222,0.247309368,2.55518511,0.541384482,13.69908725,0.785434975,6.502810519,0.863984243,12.48052592,0.760880733,24.51102865,29.43511464,17,46545.94845,9839.02452,38902.63083,59682.97725
60,61,110,0.12388359,0.190391296,0.821427851,0.428118887,0.501590933,0.473821868,0.467453424,0.560004577,0.425458135,0.564499528,0.635410566,0.831865583,0.60521815,0.811195795,0.580687034,0.411828434,0.767420685,0.406850121,0.362078027,2.132313789,0.549950045,11.19304859,0.984635026,8.028499004,0.84185087,12.85493942,0.899552906,24.65268684,24.96372276,17,57971.58896,9873.67017,47372.49327,56386.5393
61,62,210,0.151862271,0.16080705,0.836960052,0.614415719,0.481880525,0.426885443,0.470701142,0.509026452,0.346635632,0.519712709,0.821788612,0.902904831,0.645822447,0.787771377,0.731229498,0.601579883,0.799052383,0.417372607,0.379520545,1.550680268,0.533640711,13.97896794,0.775041693,6.179780916,0.763437542,12.75934811,0.765661485,24.98294392,26.52183541,17,48945.74804,7491.16125,40021.63137,58257.86874
62,63,260,0.136319401,0.140327194,0.738106799,0.72412514,0.819020449,0.604103268,0.370607297,0.521668309,0.417072505,0.414980882,0.681392629,0.947331959,0.605721901,0.893075527,0.482744909,0.469555734,0.443978019,0.150286903,0.413977651,2.767862441,0.520703604,13.76618475,0.848388264,5.068526322,0.782934708,12.95772277,0.88125711,24.66461697,21.22594951,18,50887.03804,7412.13189,51458.07051,60093.72522
63,64,280,0.166737208,0.143701967,0.544139967,0.406372579,0.72668868,0.651634042,0.414370676,0.449255614,0.569186534,0.442251745,0.621587031,0.697977919,0.685152798,0.71210189,1.174920208,0.750466995,1.093155264,0.389805602,0.360545298,1.376460289,0.603407908,15.4034446,0.73483083,4.968279246,0.861796521,13.22441636,0.784149847,23.48078512,23.56762297,19,58056.14135,8527.34577,50978.41383,57939.99858
64,65,40,0.138416461,0.110792592,0.848229994,0.766849252,0.714795066,0.645304541,0.297350075,0.43342759,0.48634686,0.460220497,0.685539302,0.822080556,0.728892366,0.663172525,0.607198945,0.777213238,0.516063615,0.179399904,0.305334688,2.596788463,0.540898112,13.76128818,0.8889595,5.965840544,0.848810963,11.49754836,0.748716583,24.77102212,22.40600247,17,42327.5776,8032.5915,35265.6747,50233.58631
65,66,30,0.134282478,0.186905215,0.76870539,0.722475622,0.659089417,0.726125909,0.589438672,0.594138701,0.434220645,0.500004522,0.666384698,0.766739841,0.789313262,0.675708302,1.183588228,0.531646576,0.448614721,0.397119121,0.216198612,1.936561737,0.526069139,13.76853231,0.790257277,4.793599084,0.79061564,11.9912072,0.725779335,25.58746176,29.40680751,17,45070.30645,5708.52402,35653.07487,64962.65712
66,67,30,0.172386273,0.147906586,0.624907331,0.648726494,0.740590563,0.400264855,0.409784066,0.537431926,0.365642762,0.393452441,0.600456964,0.741473971,0.654345099,0.756866626,1.083159333,0.576590578,0.554230155,0.433113697,0.486905009,2.267041569,0.526485921,14.62130632,0.865932179,6.12024986,0.733392065,13.49953107,0.827998734,25.76506303,23.94122956,18,52239.558,8740.37319,50369.8374,57772.79694
