#,case,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Cooling,Lighting,Equipment,fadian
6272,6273,190,0.191149139,0.203921877,0.503278401,0.733982176,0.587100534,0.833139995,0.530648812,0.536815396,0.45417183,0.58030837,0.981324465,0.732454027,0.664555585,0.757471156,0.425088268,0.620119759,0.680709034,0.458805087,0.322987844,2.712805397,0.546744957,14.28896984,0.75390738,7.251204984,0.887874421,11.38594847,0.872845318,25.53377486,27.89103314,19,55501.80919,12913.49487,48855.9255,76847.92011
6273,6274,290,0.128372551,0.171056583,0.374410314,0.567342946,0.471472836,0.599908553,0.407998892,0.509251387,0.438052167,0.445649655,0.635184041,0.744960296,0.750983574,0.667000564,0.532095297,0.70298753,1.190527043,0.253458221,0.236167209,1.569747942,0.460123285,15.83535896,0.731806765,6.734061862,0.868795858,13.25362618,0.780496735,25.02435712,27.78767027,18,45991.52322,11452.71066,46615.24629,55014.12684
6274,6275,120,0.182774593,0.188585524,0.621982159,0.467560139,0.756378322,0.649253455,0.392634418,0.44818556,0.517273479,0.46495145,0.5734012,0.684100637,0.884828422,0.836271872,0.783235208,0.450903091,0.416418646,0.329887629,0.393745055,1.057730845,0.459787571,15.12362427,0.833692206,5.310898419,0.965958178,14.73585121,0.7415593,23.78370061,25.03077162,19,62232.6453,11603.91219,53719.48806,76436.07342
6275,6276,20,0.179801911,0.161831523,0.384189161,0.496092751,0.655796437,0.466538373,0.554940763,0.335746145,0.487486475,0.561310212,0.607159962,0.72354476,0.773054467,0.597733993,0.549530541,0.574500871,1.117720488,0.276098985,0.420660992,2.553526931,0.492925941,14.25583875,0.813881868,6.349580001,0.756941111,12.56067751,0.924360237,25.16030473,23.47243599,18,50315.7189,8562.75006,52321.05621,57171.372
6276,6277,270,0.190776142,0.131852661,0.462029367,0.480779348,0.649212151,0.451636709,0.458390508,0.599944472,0.385010425,0.540288183,0.720202456,0.587455132,0.69927755,0.782926934,0.838403027,0.630003901,0.842046142,0.280172551,0.259439435,1.914527309,0.588620602,15.05851604,0.818970574,6.955387405,0.769021162,12.47529852,0.751018234,24.1334317,21.76575635,19,51361.63167,10631.08392,46058.75115,54446.2521
6277,6278,190,0.115076088,0.17507923,0.412022641,0.665397141,0.490284833,0.787367289,0.470257487,0.550653863,0.410957252,0.542333376,0.723688853,0.762061435,0.80668641,0.68621016,1.161385413,0.661491045,0.805283015,0.193668864,0.47116391,2.850411025,0.486608158,12.77909697,0.831047,5.951629354,0.815490967,12.0513092,0.82784749,24.45310443,28.64856599,19,61534.36732,10587.82509,49045.06557,53522.42478
6278,6279,110,0.140658936,0.185610301,0.442048972,0.840736988,0.867701048,0.777949597,0.272853903,0.268653509,0.433987626,0.491256123,0.596112905,0.859926536,0.694874237,0.835130802,0.407910096,0.537335543,0.83535143,0.371542875,0.40711508,1.590305137,0.643313656,11.50388246,0.767186275,5.406283186,0.923812737,12.64231688,0.811405601,24.55052427,23.77602446,18,56695.60226,8554.0911,46226.05743,70912.6314
6279,6280,340,0.180315946,0.150319736,0.587202716,0.693133065,0.564243026,0.524221265,0.33927787,0.453806569,0.394688814,0.480205906,0.629276865,0.670348639,0.801141475,0.724637517,0.660088217,0.692068205,0.769428699,0.418373506,0.218115508,2.642062807,0.621574758,14.07246748,0.83512429,5.290583327,0.861159185,12.93903489,0.905036307,23.83672328,25.38853434,19,57269.46437,9579.5631,57567.66657,57351.04215
6280,6281,300,0.116983913,0.13411703,0.535838554,0.705030709,0.741217207,0.454310533,0.600283352,0.427042116,0.532929266,0.446881359,0.552397849,0.628389508,0.612535616,0.699940867,0.702042742,0.405246844,0.716280045,0.410086432,0.499640971,2.982594721,0.589153691,11.52762546,0.81370242,5.239795317,0.869697224,12.75422165,0.795233895,24.29599777,26.03282646,18,62916.94839,7403.26692,45705.771,44546.79471
6281,6282,10,0.152979639,0.169835457,0.556642542,0.417823782,0.574013542,0.626254372,0.385120138,0.315435395,0.363362257,0.561104588,0.933900342,0.72844223,0.721435164,0.59650024,0.943446541,0.401132428,1.161014652,0.151642797,0.375105705,1.920846874,0.610122167,13.60969877,0.836635615,6.65543016,0.793884356,13.64273127,0.925446739,24.44897632,27.66716854,19,58546.94437,11243.51241,62067.39258,57728.03718
