#,case,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Cooling,Lighting,Equipment,c6: fadianliang,C+L,C+L+P
1930,1931,300,0.16452007,0.125209313,0.658302524,0.709281538,0.744437458,0.655980116,0.603443149,0.449291665,0.526392426,0.422120759,0.798285628,0.812268894,0.779726041,0.640382384,1.186346702,0.395325319,1.223524272,0.182792156,0.203538282,1.88340715,0.738134669,12.13534146,0.927499864,8.276028113,0.875068686,15.57228362,0.715461172,27.42412031,28.85154584,182857.1943,47734.08,230305.37,264346.86,230591.2743,460896.6443
46498,46499,70,0.162104968,0.222117914,0.7133561,0.824756874,0.722308038,0.732813305,0.622194692,0.449595962,0.675768389,0.61315581,0.974290975,0.819319627,0.758206058,0.582860023,0.855485424,0.286057172,1.250663766,0.228234573,0.267077517,2.35106103,0.612143078,11.30619009,0.728538283,7.977496925,0.7988051,19.48979312,0.85051038,25.82560056,39.16259905,273792.8,39813.46,342651.42,363701.94,313606.26,656257.68
1126,1127,100,0.152340881,0.229828044,0.767884923,0.657126561,0.649223364,0.839441948,0.448596689,0.390485084,0.496118031,0.500712145,0.738508835,0.729035586,0.593090309,0.821817357,1.149436909,0.535020822,0.838150362,0.280263114,0.256734812,1.459655702,0.619840387,12.31979357,0.751408974,12.15896641,0.791489592,18.07503814,0.891475348,27.61650679,34.67944358,232540.8514,71564.37,333084.37,355568.84,304105.2214,637189.5914
14233,14234,280,0.164607597,0.166349977,0.663799766,0.667735022,0.801929957,0.750053578,0.518106606,0.352976409,0.495834933,0.630766367,0.751491933,0.66561244,0.58363712,0.708739346,0.981846549,0.781787309,0.893314461,0.320490182,0.311032399,2.11412109,0.582395989,14.22777588,0.833352192,8.936473546,0.910276808,11.06755249,0.759204961,24.93828632,39.05139274,232891.3657,57525.09,173690.6,306287.49,290416.4557,464107.0557
44700,44701,190,0.176837233,0.170427016,0.797216429,0.747640185,0.75644217,0.699690886,0.403622467,0.42186723,0.427340123,0.427315519,0.732416083,0.648433399,0.872560173,0.61283987,0.667969284,0.711575018,0.889256908,0.171946834,0.36397463,1.642654734,0.459588344,7.861830683,0.875678943,9.669699254,0.743569099,12.1307263,0.751288429,25.4319236,37.72965996,299150.5229,66684.73,188390.58,304854.51,365835.2529,554225.8329
30321,30322,60,0.207381388,0.227020733,0.72742781,0.70449003,0.769095645,0.619945206,0.361631644,0.537364053,0.404655914,0.333226324,0.855471835,0.658800668,0.848855961,0.605647011,0.401382575,0.498551986,1.367380816,0.19538974,0.2180564,2.326000074,0.493777081,13.78063736,0.76260129,10.16175307,0.75383795,16.20068608,0.788597784,24.97503365,29.01413935,203469.2971,69679.25,264091.64,431500.03,273148.5471,537240.1871
42697,42698,340,0.20784886,0.194126794,0.837245832,0.67803368,0.706614196,0.828362524,0.35203806,0.530435359,0.600832864,0.425735771,0.75386255,0.735015666,0.705683077,0.740817093,0.465551668,0.547883817,0.878182275,0.245924444,0.27523337,2.162004311,0.758739026,11.5754944,0.807592946,9.711887151,0.839202547,14.38809877,0.747018533,25.36666311,35.29328172,234230.8057,52692.93,222177.7,362632.35,286923.7357,509101.4357
7479,7480,80,0.182599654,0.119769046,0.768758877,0.672829325,0.711009903,0.732445059,0.253050266,0.318412755,0.656675931,0.464886491,0.804513512,0.82821652,0.790127675,0.512613014,0.872039529,0.536579326,1.089773627,0.210973818,0.358997459,2.059141007,0.648831108,9.602905554,0.827264971,7.893211593,0.762089107,18.28467496,0.80098394,25.40005886,38.59512288,308622.6914,41719.93,302744.83,287550.35,350342.6214,653087.4514
29036,29037,40,0.117262143,0.207939628,0.62482665,0.710948311,0.728354959,0.646008862,0.54721256,0.415788618,0.53364632,0.650788025,0.837583306,0.927555162,0.919473552,0.703050249,0.503290788,0.359877789,1.392949533,0.151867315,0.251962691,2.016344999,0.479813889,10.91918456,0.954650014,7.27946438,0.755207801,13.65440414,0.788386293,24.87695345,23.06109842,213358.6914,41180.0,222524.33,329456.05,254538.6914,477063.0214
12589,12590,40,0.182475284,0.183317131,0.724961778,0.658700666,0.712732322,0.735475159,0.439162695,0.36243482,0.432240545,0.423079539,0.6638011,0.656770067,0.744241817,0.876092869,1.146341137,0.233914685,1.349767055,0.131317924,0.252866196,2.383680389,0.59957049,12.41040853,0.934190598,8.153048887,0.785194813,13.75475641,0.821708302,26.00593554,27.93735711,196404.18,50799.87,233634.12,346962.54,247204.05,480838.17
44510,44511,230,0.193000375,0.121596874,0.667225356,0.71770402,0.736247656,0.626551668,0.442307029,0.411323081,0.435282619,0.457499764,0.660376011,0.639067633,0.743287262,0.756674479,1.405154026,0.382373365,0.693278169,0.19625874,0.351044841,1.49535958,0.568750342,10.6476824,0.828434,8.871781332,0.784152902,12.60198726,0.815987682,24.56472305,42.73239836,292200.2086,56205.65,212563.32,278037.36,348405.8586,560969.1786
13588,13589,130,0.196104526,0.172064956,0.691888583,0.788921254,0.831017762,0.558716054,0.456508502,0.544983194,0.390043041,0.511768533,0.630868594,0.861100692,0.890400975,0.886171445,0.732723274,0.771602409,0.886794539,0.110936019,0.239084101,1.668103973,0.73755616,9.113633631,0.79696608,11.2119964,0.86195499,18.85112527,0.847401162,26.45397305,22.00589936,230056.7286,66169.09,330211.37,361539.53,296225.8186,626437.1886
17306,17307,180,0.206745053,0.128147073,0.784687455,0.652948056,0.728931244,0.851531474,0.520262115,0.387128717,0.55378613,0.365288898,0.898978474,0.814204633,0.597492587,0.984336782,0.454733566,0.378933356,0.524855838,0.232652097,0.208021504,1.694101641,0.469601914,6.133529138,0.81906847,10.74177303,0.921409998,18.25950051,0.711364935,25.15860917,18.89308762,277862.5371,85937.36,268501.7,320084.55,363799.8971,632301.5971
2888,2889,320,0.153495135,0.184821697,0.755179084,0.57246097,0.757676739,0.585573166,0.456096619,0.385178861,0.430444593,0.515685082,0.551404734,0.881887477,0.82912697,0.735872471,0.773190219,0.320962097,1.34508535,0.281430739,0.388581996,1.6988241,0.619451744,13.56374136,0.960255246,6.976009197,0.874194323,18.20119264,0.83053123,26.98890583,39.5241134,243827.0771,45911.1,312479.48,313634.54,289738.1771,602217.6571
46393,46394,230,0.112056788,0.155164989,0.65499459,0.571822129,0.709981799,0.613652254,0.600111902,0.534350177,0.498955829,0.445589333,0.828582804,0.799735952,0.629829961,0.554700117,0.989956274,0.603861143,1.023561804,0.22296795,0.373822737,1.597704844,0.628109324,9.134811915,0.847710043,10.00049888,0.857628931,13.42747833,0.820176448,25.34264681,33.33173137,284069.4114,61531.66,227649.89,224435.15,345601.0714,573250.9614
22034,22035,210,0.163915123,0.177350626,0.671140624,0.63802338,0.574948484,0.533462457,0.603625579,0.477044168,0.506973969,0.390666906,0.647741193,0.72262255,0.570646705,0.759843543,1.445212277,0.35435044,1.163304592,0.110061011,0.302362106,2.188585607,0.508180069,12.37714929,0.916964636,9.51114679,0.862018168,11.07516845,0.778000851,25.1068844,39.80779867,232974.4143,66540.22,178113.2,283213.85,299514.6343,477627.8343
20137,20138,70,0.123670302,0.205310308,0.608882543,0.660470259,0.708999161,0.56345956,0.596996065,0.481505185,0.485204849,0.429880709,0.663442464,0.675795872,0.775250579,0.885229361,1.43178011,0.785753445,1.060066615,0.346512905,0.33530738,1.951654226,0.463316969,6.137368102,0.986589891,6.533501586,0.803545253,15.16035762,0.764020645,25.78701739,31.50941482,349059.8,43609.7,239430.92,320354.97,392669.5,632100.42
36454,36455,340,0.156375963,0.159651138,0.788440472,0.767419196,0.656033385,0.704792828,0.250058659,0.533821123,0.402680585,0.375276291,0.843226322,0.76708701,0.732349167,0.784126844,1.037385774,0.249550193,0.717374046,0.299053857,0.282768826,1.900725273,0.750467899,14.32349378,0.806280786,11.42454338,0.810787086,13.84784837,0.815931666,26.39664006,27.06977555,187063.08,69471.54,233561.78,290981.86,256534.62,490096.4
8877,8878,250,0.176648851,0.153875329,0.612925896,0.755036201,0.696463771,0.704947885,0.386555021,0.41536383,0.447811263,0.39263804,0.716001433,0.611711237,0.559480088,0.93999468,1.088496893,0.319474505,1.330430167,0.16544806,0.363565148,1.991779864,0.572115692,7.429267018,0.745931015,7.943572169,0.94337675,15.26981668,0.825729265,26.98611322,31.62409192,272076.12,60947.42,260637.67,318993.85,333023.54,593661.21
30442,30443,250,0.182264423,0.190762952,0.659006448,0.700047309,0.706458979,0.675478058,0.584715626,0.267302243,0.452933643,0.558690492,0.638608963,0.837689532,0.780833773,0.755198561,1.334805858,0.612607816,0.917002013,0.123981258,0.378747856,1.861183799,0.485600283,7.63995477,0.789754924,11.24524948,0.825204441,13.90909448,0.801028977,24.31895709,25.23289085,297008.8429,74741.85,230309.99,357428.44,371750.6929,602060.6829
29915,29916,20,0.13447919,0.196543053,0.672057447,0.762793724,0.804359923,0.659525532,0.373298322,0.449080223,0.365452423,0.430458925,0.75672632,0.597186997,0.717717611,0.697735471,1.107415451,0.525987463,0.733736577,0.107586252,0.247872189,1.800017182,0.52683325,10.83436349,0.893609007,8.673958937,0.739645917,15.75160317,0.876675694,26.28248477,32.4838952,230631.7714,56463.78,285449.59,302392.79,287095.5514,572545.1414
48715,48716,320,0.194420612,0.205184157,0.717144396,0.737954123,0.730507393,0.669012424,0.395624886,0.615755288,0.439324744,0.418291272,0.635385707,0.684588686,0.795615823,0.816060163,1.17612518,0.700542833,1.494317633,0.121923547,0.244228541,2.144129399,0.532597547,13.22809446,0.889725797,7.999186613,0.767223964,13.55892459,0.779017064,25.93221277,31.76924228,194520.7371,49585.04,218342.31,373742.56,244105.7771,462448.0871
36947,36948,300,0.164762549,0.173025765,0.71190522,0.669106679,0.765512364,0.727320841,0.384221738,0.384677173,0.488013203,0.453884196,0.607085549,0.627592999,0.738707761,0.833319424,1.439182492,0.368518406,0.542073975,0.240751132,0.376983881,1.856185953,0.589494948,11.16007494,0.705004263,11.71077709,0.877934405,14.85019276,0.839693235,26.5636841,34.43998915,247179.82,79364.74,257761.73,321237.9,326544.56,584306.29
8668,8669,70,0.133971864,0.221329934,0.78620113,0.677158887,0.630921749,0.671575849,0.350333855,0.283560539,0.610636095,0.493886692,0.761919888,0.688329834,0.548532035,0.738481022,1.093370182,0.507810194,1.005922441,0.250497878,0.325191422,1.434333153,0.506891052,7.26361138,0.876946624,7.383920896,0.793579886,13.59723671,0.726170518,25.85077704,24.28785891,271331.7543,46571.58,204105.62,310919.24,317903.3343,522008.9543
31394,31395,50,0.128030244,0.114242919,0.662205426,0.784090418,0.661055746,0.667773768,0.441428702,0.502219073,0.47838174,0.397411138,0.812664949,0.710468355,0.612345711,0.695653953,1.234792905,0.223317678,1.06171421,0.258507977,0.25116939,2.269488195,0.653648435,12.42186295,0.827025265,6.68173005,0.72131391,15.0900961,0.740573131,26.40705075,31.05022371,201197.1714,35530.27,231007.27,215436.63,236727.4414,467734.7114
