#,Job_ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,District Cooling [kWh],c1: Interior Lighting[kWh],c2: Total Energy [kWh],c4: Annual Total Peak Values[kWh],c5: Annual and Peak Values-Cooling [kWh],c7: Not Comfortable[Hours]
240,case_241,0.641009681,1.346857798,0.580102921,3.075336565,0.266569684,0.602267317,0.367560766,0.332892463,0.281184128,0.286403918,0.333364787,0.285637909,500941.2989,76874.61788,1052184.84,551402.1262,500941.6896,3284.83
241,case_242,0.720261433,0.928044969,1.139564412,3.282887143,0.302903739,0.576551395,0.320625635,0.34796021,0.268984841,0.2011607,0.279690944,0.357502488,477064.3258,79105.83272,1030546.64,553633.3411,477064.7059,3288.67
242,case_243,0.758393546,0.672486212,1.424520905,3.325678913,0.224681411,0.661949309,0.263628374,0.276201008,0.253273055,0.238937471,0.329919556,0.383976916,454403.1677,73359.31122,1002146.12,547886.8196,454403.5267,3303
243,case_244,0.980992722,1.245211646,0.750335623,3.22659563,0.347747683,0.539656937,0.386079062,0.284800998,0.215451857,0.259729575,0.212613829,0.334131963,493785.0192,83802.27203,1051958.49,558329.7804,493785.4099,3292.67
244,case_245,0.848172905,1.334328814,0.710607719,3.872260233,0.291264079,0.686638771,0.324871924,0.266467422,0.22559674,0.294035505,0.350631945,0.33721862,496308.1622,72151.95581,1042830.51,546679.4642,496308.553,3310.33
245,case_246,0.605717148,1.216858147,0.603241051,3.637595763,0.372540942,0.794413551,0.225646213,0.217416211,0.237636939,0.263808135,0.276384038,0.245238074,479242.8643,73439.40465,1027058.05,547966.913,479243.2445,3277.83
246,case_247,0.535514009,0.868410631,1.230756463,3.428762471,0.282409607,0.647328504,0.235278448,0.269308038,0.263368403,0.285771633,0.354643883,0.228669056,459159.3706,76142.47082,1009683.98,550669.9792,459159.7402,3286.5
247,case_248,0.799536925,0.632746087,1.259829399,3.656020517,0.280930078,0.403934774,0.208852488,0.340638098,0.267606157,0.296734166,0.228336444,0.382895859,467259.4502,88352.58596,1029991.62,562880.0943,467259.8304,3291.83
248,case_249,0.730540714,0.884189916,1.15802618,3.630416576,0.319745012,0.523182819,0.296277449,0.30512935,0.233056661,0.24258485,0.271655758,0.256747896,471139.152,84554.21284,1030071.7,559081.7212,471139.5322,3285.33
249,case_250,0.80220772,0.582742712,1.265442609,3.109048216,0.303895565,0.504678414,0.370789646,0.31071518,0.210836951,0.247810788,0.358018678,0.392291179,482702.0774,79636.7486,1036713.51,554164.2569,482702.4576,3291.67
250,case_251,0.916692269,1.230915689,0.666028637,3.768149525,0.260537484,0.24890675,0.376718616,0.374264699,0.262576235,0.247190949,0.326106445,0.265590656,509929.3056,109459.3742,1093754.78,583986.8825,509929.7174,3291
251,case_252,0.94331265,1.366319893,1.087069768,3.797614595,0.277748933,0.403218321,0.241200598,0.379172368,0.274957948,0.220540074,0.328218921,0.211782661,481013.5123,91630.62098,1047019.36,566158.1293,481013.903,3302.67
252,case_253,0.825897767,1.3550997,1.021398182,3.068860254,0.395343101,0.683166272,0.211623099,0.395901288,0.284315648,0.230811696,0.358515738,0.36299701,493992.7978,72284.33641,1040648.26,546811.8448,493993.199,3303.33
253,case_254,0.715440314,0.797764692,0.989338899,3.869835613,0.389795642,0.763873143,0.312006439,0.221539398,0.251461799,0.202562046,0.219667324,0.354535001,469926.0509,73597.18459,1017901.97,548124.6929,469926.431,3285.67
254,case_255,0.622394265,0.76347763,1.441350626,3.060422861,0.227007936,0.632895069,0.29225272,0.234409998,0.208648179,0.200501154,0.327616658,0.391583363,452785.1434,75286.74742,1002456.04,549814.2558,452785.513,3294
255,case_256,0.760239375,0.675681911,1.21798122,3.600148787,0.286601778,0.632185187,0.300143576,0.298412096,0.211925354,0.271372825,0.265116546,0.260791684,462769.6234,79299.7798,1016450.38,553827.2881,462769.993,3288.33
256,case_257,0.744757524,0.720179442,1.268516537,3.587353714,0.232597394,0.620713683,0.325967338,0.233668708,0.289689574,0.284211503,0.33782892,0.369817802,464882.711,73778.81204,1013041.86,548306.3204,464883.0806,3301.5
257,case_258,0.873944679,0.996203706,1.128671588,3.018914152,0.383182869,0.789805536,0.36160278,0.30016906,0.274164622,0.292649359,0.341205394,0.296378344,494868.5808,70362.31578,1039601.75,544889.8241,494868.9821,3302.5
258,case_259,0.937923669,1.277757967,0.932194863,3.769549791,0.339828777,0.42965417,0.290194033,0.200517864,0.259191751,0.289607918,0.210658965,0.351044046,482675.7302,88194.45765,1045244.9,562721.966,482676.121,3299.67
259,case_260,0.885857636,0.619687421,0.967226224,3.476006647,0.389170863,0.312007581,0.258247715,0.201226537,0.243931274,0.252082011,0.352061455,0.213123608,478053.9667,101160.2823,1053590.43,575687.8223,478054.3469,3269.67
260,case_261,0.684057183,1.017313946,0.511828183,3.526800867,0.225628306,0.799623036,0.29488896,0.393830369,0.278157469,0.288946515,0.389905479,0.369492335,497274.8246,67664.76019,1039309.68,542192.2685,497275.2259,3294.33
261,case_262,0.779151016,1.429195188,0.735088506,3.712039346,0.380961385,0.274534792,0.294406566,0.351757398,0.229151925,0.249020768,0.317182935,0.377376035,512094.169,101381.4023,1087841,575908.9423,512094.5808,3288
262,case_263,0.500456917,0.738764864,0.670981693,3.634918513,0.237630587,0.460952775,0.235433247,0.32805692,0.280248756,0.222156452,0.316789259,0.333645114,471647.2992,83692.15544,1029717.63,558219.6638,471647.6688,3252
263,case_264,0.615532987,1.090343623,1.290899499,3.509423512,0.293053499,0.446473767,0.244373248,0.292618774,0.204712912,0.259323787,0.30445508,0.208925124,463984.7414,90478.40304,1028843.74,565005.9114,463985.1216,3287
264,case_265,0.515985045,0.989517479,0.797286221,3.727679705,0.317844879,0.792165301,0.359756693,0.374623539,0.229311235,0.212228568,0.238419301,0.386589905,488276.2896,71871.16959,1034520.39,546398.6779,488276.6803,3272.17
265,case_266,0.965984776,0.939182719,0.858025545,3.236887612,0.353866529,0.622512365,0.203117342,0.382526363,0.207602252,0.268906117,0.271341712,0.313868491,482268.0403,78297.45597,1034940.31,552824.9643,482268.4205,3288.5
266,case_267,0.953635933,0.554662404,1.457290372,3.624470417,0.229837376,0.457226455,0.338331273,0.220324738,0.275561425,0.210454846,0.344588383,0.349172171,459920.3558,82950.34903,1017252.59,557477.8574,459920.7254,3311.67
267,case_268,0.678873017,0.680889036,0.613029301,3.958228012,0.34154631,0.321988576,0.249431471,0.283207087,0.224376942,0.214754622,0.318416536,0.266645609,483778.5005,99370.61063,1057523.48,573898.1506,483778.8912,3252.17
268,case_269,0.717607423,0.920000642,1.434209383,3.232032905,0.366543601,0.537431371,0.269440223,0.263154238,0.299733194,0.254620534,0.277670527,0.352190134,470794.5581,79775.4632,1024948.46,554302.9715,470794.9277,3300.5
269,case_270,0.993214254,0.876711566,0.884840507,3.089866332,0.20203972,0.401391402,0.329984557,0.278694745,0.264914478,0.275651636,0.249247435,0.321619468,473948.7562,90710.92418,1039037.14,565238.4325,473949.1258,3283.5
270,case_271,0.661128548,1.235316071,1.482510983,3.668708696,0.325331615,0.781912937,0.394341431,0.383415856,0.214421431,0.274737733,0.27349033,0.346778196,487514.7658,71599.50433,1033487.44,546127.0127,487515.1565,3313.83
271,case_272,0.860043248,1.075319291,0.654227699,3.088267577,0.289811881,0.32064908,0.252391565,0.291321909,0.284123776,0.246764259,0.215663869,0.249753581,483928.0406,105501.0359,1063803.37,580028.5442,483928.4208,3266.67
272,case_273,0.789278909,0.74887678,0.845969089,3.83514618,0.204987214,0.776193903,0.344603703,0.224908185,0.292529367,0.253749897,0.212874551,0.222318377,457659.1219,75872.95912,1007914.68,550400.4675,457659.4915,3279.67
273,case_274,0.562220908,0.516166434,1.113839021,3.492937069,0.219979589,0.481453111,0.21794572,0.299041108,0.256391987,0.200380565,0.324773096,0.316632157,449987.7677,83661.0555,1008033.84,558188.5638,449988.1267,3265.83
