#,Job_ID,@@tag1@@,@@tag2@@,@@tag3@@,@@tag4@@,@@tag5@@,@@tag6@@,@@tag7@@,@@tag8@@,@@tag9@@,@@tag10@@,@@tag11@@,@@tag12@@,Cooling£¨MWh),Cooling£¨kWh/©O),Total£¨MWh),Total£¨kWh/©O),Coolingpeak£¨kW),Coolingpeak£¨W/©O),Very-hot(h),COM(h)
921,LHS-000921,0.5,1.5,1.5,3,0.3,0.3,0.4,0.4,0.3,0.3,0.2,0.2,107.93,22.49,385.35,80.28,140.81,29.34,266.88,3317.12
922,LHS-000922,1,1,1.5,4,0.4,0.2,0.4,0.2,0.2,0.2,0.4,0.2,107.61,22.42,385.05,80.22,141.55,29.49,251.01,3332.99
923,LHS-000923,0.5,1,1.5,3,0.4,0.3,0.2,0.3,0.2,0.2,0.3,0.4,105.09,21.89,382.26,79.64,135.64,28.26,245.79,3338.21
924,LHS-000924,1,1,0.5,4,0.3,0.4,0.2,0.2,0.2,0.3,0.3,0.2,108.6,22.62,386.2,80.46,141.72,29.52,304.58,3279.42
925,LHS-000925,0.5,1.5,1.5,3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,103.74,21.61,380.87,79.35,134.28,27.98,213.87,3370.13
926,LHS-000926,0.5,1,1.5,3,0.4,0.2,0.4,0.3,0.3,0.2,0.4,0.2,107.53,22.4,384.76,80.16,138.87,28.93,285.04,3298.96
927,LHS-000927,0.5,1,1.5,4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.3,103.43,21.55,380.58,79.29,132.55,27.61,220.49,3363.51
928,LHS-000928,0.5,1.5,0.5,3.5,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,107.09,22.31,384.61,80.13,139.79,29.12,239.76,3344.24
929,LHS-000929,0.5,0.5,1.5,3,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.3,104.92,21.86,381.94,79.57,131.79,27.46,311.3,3272.7
930,LHS-000930,1,1,0.5,3,0.2,0.3,0.4,0.3,0.2,0.2,0.4,0.4,112.75,23.49,390.41,81.34,147.37,30.7,371.02,3212.98
931,LHS-000931,0.5,1,1.5,3.5,0.2,0.3,0.3,0.2,0.3,0.2,0.4,0.4,105.26,21.93,382.51,79.69,136.87,28.52,216.94,3367.06
932,LHS-000932,0.5,0.5,1.5,3,0.3,0.2,0.2,0.3,0.2,0.3,0.4,0.2,101.24,21.09,378.04,78.76,126.04,26.26,244.67,3339.33
933,LHS-000933,0.5,0.5,0.5,3,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,108.37,22.58,385.5,80.31,134.87,28.1,440.06,3143.94
934,LHS-000934,0.5,1,1.5,4,0.4,0.2,0.3,0.3,0.2,0.2,0.4,0.4,107.45,22.38,384.84,80.17,142.31,29.65,231.68,3352.32
935,LHS-000935,0.5,0.5,1.5,3.5,0.3,0.4,0.4,0.4,0.3,0.2,0.4,0.4,110.12,22.94,387.47,80.72,143.04,29.8,326.54,3257.46
936,LHS-000936,0.5,1,1.5,3.5,0.3,0.4,0.3,0.2,0.2,0.2,0.4,0.2,105.14,21.9,382.32,79.65,134.69,28.06,242.33,3341.67
937,LHS-000937,0.5,1.5,1.5,4,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.2,108.87,22.68,386.46,80.51,144.18,30.04,259.33,3324.67
938,LHS-000938,0.5,1,1.5,4,0.3,0.2,0.4,0.3,0.3,0.3,0.4,0.2,108.09,22.52,385.48,80.31,141.59,29.5,254.8,3329.2
939,LHS-000939,1,0.5,1.5,4,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.4,104.13,21.69,381.3,79.44,133.31,27.77,249.14,3334.86
940,LHS-000940,1,1,0.5,3.5,0.4,0.4,0.3,0.2,0.2,0.2,0.4,0.2,109.82,22.88,387.37,80.7,141.39,29.46,329.06,3254.94
941,LHS-000941,0.5,1,1.5,3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.4,102.56,21.37,379.55,79.07,131.04,27.3,219.14,3364.86
942,LHS-000942,1,0.5,1,4,0.2,0.4,0.4,0.2,0.2,0.3,0.3,0.2,107.5,22.4,384.85,80.18,137.57,28.66,322.26,3261.74
943,LHS-000943,1,1,0.5,3.5,0.2,0.2,0.2,0.4,0.3,0.2,0.4,0.3,108.75,22.66,386.28,80.48,142.2,29.62,286.24,3297.76
944,LHS-000944,0.5,1,0.5,3.5,0.3,0.3,0.2,0.3,0.2,0.3,0.4,0.4,109.2,22.75,386.72,80.57,141.43,29.47,296.29,3287.71
945,LHS-000945,1,1.5,1.5,4,0.2,0.3,0.2,0.4,0.2,0.3,0.2,0.3,108.05,22.51,385.72,80.36,145.73,30.36,235.05,3348.95
946,LHS-000946,0.5,0.5,1,3.5,0.3,0.4,0.2,0.3,0.2,0.3,0.2,0.3,104.51,21.77,381.58,79.5,132.98,27.7,304.48,3279.52
947,LHS-000947,0.5,0.5,0.5,3,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.2,111.15,23.16,388.52,80.94,139.55,29.07,448.28,3135.72
948,LHS-000948,0.5,1.5,1,3.5,0.4,0.3,0.2,0.3,0.2,0.2,0.3,0.2,106.23,22.13,383.59,79.91,138.16,28.78,237.09,3346.91
949,LHS-000949,1,1.5,1,3.5,0.2,0.4,0.4,0.2,0.3,0.2,0.2,0.4,108.76,22.66,386.42,80.5,144.65,30.14,252.95,3331.05
950,LHS-000950,1,1.5,1,3,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.2,108.13,22.53,385.7,80.35,141.96,29.57,262.79,3321.21
951,LHS-000951,0.5,1,0.5,4,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.4,110.96,23.12,388.68,80.97,146.25,30.47,307.33,3276.67
952,LHS-000952,0.5,0.5,1.5,3,0.2,0.4,0.3,0.4,0.3,0.3,0.4,0.4,109.05,22.72,386.37,80.49,139.96,29.16,332.53,3251.47
953,LHS-000953,0.5,0.5,1,3.5,0.4,0.3,0.4,0.2,0.3,0.3,0.4,0.3,108.58,22.62,385.87,80.39,137.96,28.74,324.67,3259.33
954,LHS-000954,1,1.5,1.5,3,0.3,0.3,0.4,0.2,0.3,0.2,0.3,0.2,107.96,22.49,385.48,80.31,142.23,29.63,253.91,3330.09
955,LHS-000955,0.5,0.5,1.5,4,0.4,0.3,0.4,0.3,0.3,0.2,0.3,0.4,107.62,22.42,384.88,80.18,139.62,29.09,281.29,3302.71
956,LHS-000956,1,1,0.5,4,0.3,0.4,0.3,0.4,0.2,0.3,0.3,0.4,114.61,23.88,392.59,81.79,153.71,32.02,367.81,3216.19
957,LHS-000957,0.5,1.5,1,4,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.2,106.08,22.1,383.46,79.89,138.86,28.93,227.73,3356.27
958,LHS-000958,0.5,0.5,1.5,3.5,0.4,0.2,0.2,0.4,0.3,0.3,0.4,0.3,104.79,21.83,381.89,79.56,134.15,27.95,254.14,3329.86
959,LHS-000959,1,0.5,0.5,4,0.4,0.2,0.2,0.4,0.2,0.2,0.3,0.3,107.46,22.39,384.76,80.16,137.87,28.72,318.1,3265.9
960,LHS-000960,0.5,0.5,1,3.5,0.2,0.2,0.3,0.4,0.2,0.2,0.4,0.2,104.26,21.72,381.2,79.42,131.09,27.31,280.25,3303.75
961,LHS-000961,0.5,0.5,0.5,3,0.4,0.2,0.3,0.2,0.3,0.3,0.4,0.3,107.48,22.39,384.64,80.13,134.54,28.03,348.82,3235.18
962,LHS-000962,1,0.5,1.5,3,0.3,0.4,0.3,0.2,0.2,0.2,0.4,0.4,105.54,21.99,382.72,79.73,134.8,28.08,276.39,3307.61
963,LHS-000963,0.5,0.5,0.5,3,0.2,0.2,0.2,0.4,0.3,0.3,0.4,0.4,108.18,22.54,385.41,80.29,137.48,28.64,338.84,3245.16
964,LHS-000964,0.5,1,1.5,4,0.2,0.4,0.4,0.4,0.2,0.3,0.3,0.3,110.03,22.92,387.57,80.74,144.68,30.14,293.05,3290.95
965,LHS-000965,1,0.5,1.5,4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.4,100.95,21.03,377.95,78.74,128.97,26.87,206.47,3377.53
966,LHS-000966,0.5,1,1.5,3,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,101.54,21.15,378.45,78.84,128.76,26.83,214.73,3369.27
967,LHS-000967,0.5,0.5,1.5,3.5,0.4,0.2,0.3,0.2,0.2,0.3,0.3,0.3,102.16,21.28,379.06,78.97,128.32,26.73,239.26,3344.74
968,LHS-000968,1,1,1.5,4,0.4,0.2,0.4,0.3,0.3,0.3,0.4,0.4,111.53,23.24,389.31,81.11,150.71,31.4,270.73,3313.27
969,LHS-000969,1,1.5,1,3,0.4,0.4,0.3,0.4,0.2,0.2,0.2,0.3,110.53,23.03,388.21,80.88,146.39,30.5,300.88,3283.12
970,LHS-000970,0.5,1.5,1,3.5,0.3,0.2,0.4,0.2,0.3,0.3,0.3,0.4,108.79,22.66,386.35,80.49,143.56,29.91,246.18,3337.82
971,LHS-000971,0.5,1,0.5,4,0.2,0.4,0.4,0.4,0.3,0.3,0.4,0.2,113.76,23.7,391.5,81.56,148.32,30.9,381.33,3202.67
972,LHS-000972,1,1,1.5,4,0.4,0.2,0.4,0.3,0.2,0.2,0.4,0.4,110.31,22.98,387.95,80.82,148.24,30.88,262.58,3321.42
973,LHS-000973,1,1,1,3.5,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,104.58,21.79,381.81,79.54,133.8,27.88,253.77,3330.23
974,LHS-000974,0.5,1,1.5,4,0.3,0.4,0.4,0.3,0.3,0.2,0.2,0.2,105.89,22.06,383.12,79.82,136.3,28.4,257.59,3326.41
975,LHS-000975,1,1.5,1,3,0.2,0.4,0.2,0.3,0.3,0.3,0.2,0.4,109.83,22.88,387.56,80.74,146.47,30.51,281.1,3302.9
976,LHS-000976,1,1,1.5,3.5,0.3,0.4,0.4,0.2,0.3,0.3,0.2,0.4,107.77,22.45,385.31,80.27,141.77,29.54,263.68,3320.32
977,LHS-000977,0.5,0.5,1,3.5,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.4,106.05,22.09,383.25,79.84,134.4,28,282.67,3301.33
978,LHS-000978,0.5,1.5,1.5,3.5,0.3,0.2,0.4,0.4,0.3,0.3,0.2,0.3,108.05,22.51,385.52,80.32,143.03,29.8,244.7,3339.3
979,LHS-000979,0.5,1,1.5,4,0.4,0.4,0.2,0.3,0.3,0.2,0.3,0.3,106.19,22.12,383.54,79.9,138.35,28.82,237.92,3346.08
980,LHS-000980,1,0.5,1.5,3.5,0.3,0.4,0.3,0.4,0.3,0.2,0.2,0.2,104.22,21.71,381.3,79.44,131.65,27.43,292.25,3291.75
981,LHS-000981,0.5,1.5,0.5,3,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,108.14,22.53,385.59,80.33,139.94,29.15,277.37,3306.63
982,LHS-000982,0.5,1.5,1,3,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.3,109.18,22.75,386.65,80.55,142.19,29.62,291.22,3292.78
